# lag_days = last message in the session minus trigger_received_on (when the bot offered it).
# end_source: last_message is the true end; updated_at is the fallback. They agreed on every row.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_time,end_source,lag_days,within_2d
FLW_3d52e0,2026-07-06T14:16:48.548765+00:00,last_message,0.064,Y
FLW_f46048,2026-07-06T15:19:29.538477+00:00,last_message,0.103,Y
FLW_c276c9,2026-07-07T15:38:03.602339+00:00,last_message,1.1115,Y
FLW_aa0af8,2026-07-06T19:55:51.215188+00:00,last_message,0.289,Y
FLW_3c5754,2026-07-06T15:23:00.174228+00:00,last_message,0.0989,Y
FLW_a639cc,2026-07-06T17:15:39.376658+00:00,last_message,0.1749,Y
FLW_20678b,2026-07-06T21:38:13.114822+00:00,last_message,0.3551,Y
FLW_f40a39,2026-07-06T15:55:47.371618+00:00,last_message,0.1165,Y
FLW_970f78,2026-07-07T09:45:33.603639+00:00,last_message,0.8579,Y
FLW_7d7e1d,2026-07-06T14:23:48.397446+00:00,last_message,0.0504,Y
FLW_2fead8,2026-07-06T16:23:33.193014+00:00,last_message,0.1278,Y
FLW_548a48,2026-07-07T05:38:46.516665+00:00,last_message,0.6725,Y
FLW_6c0d2d,2026-07-06T18:43:58.819480+00:00,last_message,0.2178,Y
FLW_ccec8a,2026-07-06T15:47:21.816089+00:00,last_message,0.0913,Y
FLW_a21b80,2026-07-06T21:17:47.810018+00:00,last_message,0.3207,Y
FLW_c77301,2026-07-20T15:47:53.861805+00:00,last_message,14.0911,N
FLW_0304d2,2026-07-06T16:03:48.800358+00:00,last_message,0.0892,Y
FLW_14cb21,2026-07-06T18:07:57.975518+00:00,last_message,0.1604,Y
FLW_455b19,2026-07-07T17:22:36.368538+00:00,last_message,1.1281,Y
FLW_c6123f,2026-07-06T23:59:40.410870+00:00,last_message,0.3972,Y
FLW_f4b5e0,2026-07-06T16:52:04.512173+00:00,last_message,0.0889,Y
FLW_fa7993,2026-07-06T17:00:42.074040+00:00,last_message,0.0887,Y
FLW_4a2aea,2026-07-08T15:00:29.360477+00:00,last_message,1.9991,Y
FLW_4908a0,2026-07-06T18:27:23.053461+00:00,last_message,0.1418,Y
FLW_3e2375,2026-07-06T16:50:18.708910+00:00,last_message,0.0732,Y
FLW_b3f224,2026-07-06T21:47:00.057713+00:00,last_message,0.2789,Y
FLW_1a0b2a,2026-07-06T16:51:32.200564+00:00,last_message,0.0606,Y
FLW_6b1cc8,2026-07-07T05:37:02.759126+00:00,last_message,0.5821,Y
FLW_e4bb3c,2026-07-07T09:06:49.560199+00:00,last_message,0.6422,Y
FLW_74df4c,2026-07-06T21:43:56.544256+00:00,last_message,0.0488,Y
FLW_608b35,2026-07-06T21:22:11.830439+00:00,last_message,0.0305,Y
FLW_6c486d,2026-07-07T09:19:39.449834+00:00,last_message,0.5281,Y
FLW_86ae5b,2026-07-07T13:52:21.722532+00:00,last_message,0.7034,Y
FLW_e2bad3,2026-07-07T21:51:51.787202+00:00,last_message,1.0296,Y
FLW_611ae8,2026-07-07T18:58:16.428068+00:00,last_message,0.9064,Y
FLW_1f4a0a,2026-07-07T08:40:04.929091+00:00,last_message,0.4716,Y
FLW_a5149d,2026-07-07T16:48:36.676500+00:00,last_message,0.8007,Y
FLW_56b288,2026-07-08T15:35:08.079813+00:00,last_message,1.7443,Y
FLW_09b300,2026-07-06T23:12:50.708364+00:00,last_message,0.0573,Y
FLW_f1606d,2026-07-07T20:45:55.922193+00:00,last_message,0.9471,Y
FLW_b6570e,2026-07-07T01:04:26.640249+00:00,last_message,0.1204,Y
FLW_2b9003,2026-07-06T23:16:08.875386+00:00,last_message,0.0418,Y
FLW_54b683,2026-07-07T06:00:54.087224+00:00,last_message,0.322,Y
FLW_0cfb94,2026-07-07T08:37:28.246997+00:00,last_message,0.4272,Y
FLW_18a574,2026-07-08T06:44:53.260859+00:00,last_message,1.3477,Y
FLW_652cba,2026-07-07T16:55:36.636258+00:00,last_message,0.7711,Y
FLW_cce1b2,2026-07-08T17:31:05.771547+00:00,last_message,1.7902,Y
FLW_c52585,2026-07-07T19:56:22.051472+00:00,last_message,0.8825,Y
FLW_0e087a,2026-07-07T00:35:49.277994+00:00,last_message,0.0725,Y
FLW_f1ba44,2026-07-07T00:16:33.646433+00:00,last_message,0.0566,Y
FLW_988e1e,2026-07-07T05:58:46.297278+00:00,last_message,0.2797,Y
FLW_c45eee,2026-07-07T03:25:19.149521+00:00,last_message,0.171,Y
FLW_b2f267,2026-07-08T11:43:46.936152+00:00,last_message,1.4985,Y
FLW_21a4ce,2026-07-07T06:49:26.458402+00:00,last_message,0.1098,Y
FLW_21b3ab,2026-07-09T05:07:56.914605+00:00,last_message,1.9604,Y
FLW_af4427,2026-07-07T14:19:27.774389+00:00,last_message,0.144,Y
FLW_62c0b1,2026-07-07T12:08:53.443030+00:00,last_message,0.0508,Y
FLW_c903a8,2026-07-10T11:28:43.564132+00:00,last_message,3.0189,N
FLW_ba55fd,2026-07-08T10:29:47.109267+00:00,last_message,0.9776,Y
FLW_85370b,2026-07-07T13:24:22.400617+00:00,last_message,0.0971,Y
FLW_4a0c01,2026-07-07T12:12:24.292846+00:00,last_message,0.0429,Y
FLW_b9ce28,2026-07-07T17:08:24.324814+00:00,last_message,0.244,Y
FLW_5b17e1,2026-07-07T14:33:03.821851+00:00,last_message,0.1357,Y
FLW_23e3fd,2026-07-08T09:00:50.974454+00:00,last_message,0.9035,Y
FLW_87c850,2026-07-09T05:02:25.262130+00:00,last_message,1.7377,Y
FLW_5c3a45,2026-07-08T07:24:40.340141+00:00,last_message,0.8313,Y
FLW_eb0822,2026-07-08T13:52:38.495981+00:00,last_message,1.1,Y
FLW_772e72,2026-07-08T06:23:55.830291+00:00,last_message,0.7865,Y
FLW_3c2886,2026-07-07T19:54:29.537550+00:00,last_message,0.3327,Y
FLW_1331d1,2026-07-07T15:26:36.283954+00:00,last_message,0.1449,Y
FLW_81bd27,2026-07-07T14:53:22.523947+00:00,last_message,0.1146,Y
FLW_d1cc70,2026-07-07T14:46:24.445688+00:00,last_message,0.1002,Y
FLW_32dde9,2026-07-08T05:52:35.807195+00:00,last_message,0.7184,Y
FLW_638037,2026-07-07T13:54:33.599076+00:00,last_message,0.0496,Y
FLW_2cde02,2026-07-09T15:58:16.023252+00:00,last_message,2.1278,N
FLW_862c73,2026-07-07T22:00:10.529965+00:00,last_message,0.3738,Y
FLW_18c050,2026-07-08T13:36:33.044504+00:00,last_message,1.0219,Y
FLW_f7d557,2026-07-07T18:11:52.923438+00:00,last_message,0.2057,Y
FLW_0aa300,2026-07-07T21:14:13.121368+00:00,last_message,0.3317,Y
FLW_4eccc9,2026-07-07T17:59:58.878823+00:00,last_message,0.1927,Y
FLW_f75a8c,2026-07-07T15:06:23.582514+00:00,last_message,0.0569,Y
FLW_66b518,2026-07-08T21:41:13.035805+00:00,last_message,1.3266,Y
FLW_67e5b1,2026-07-07T23:20:46.224276+00:00,last_message,0.3931,Y
FLW_a7062d,2026-07-07T20:23:55.700859+00:00,last_message,0.262,Y
FLW_37e07c,2026-07-07T15:45:30.573795+00:00,last_message,0.0571,Y
FLW_676d7d,2026-07-07T15:45:51.812986+00:00,last_message,0.0413,Y
FLW_d9f79b,2026-07-07T18:30:35.968954+00:00,last_message,0.15,Y
FLW_0f7bd0,2026-07-07T19:23:03.776559+00:00,last_message,0.1693,Y
FLW_674327,2026-07-07T21:08:07.370108+00:00,last_message,0.1898,Y
FLW_d2c21a,2026-07-07T18:59:07.672940+00:00,last_message,0.0923,Y
FLW_7306be,2026-07-07T22:00:18.670390+00:00,last_message,0.2115,Y
FLW_c728f7,2026-07-08T04:40:07.022009+00:00,last_message,0.4425,Y
FLW_305618,2026-07-07T19:08:56.545605+00:00,last_message,0.0432,Y
FLW_0ad510,2026-07-07T19:50:10.660238+00:00,last_message,0.0525,Y
FLW_af4416,2026-07-08T11:54:06.510657+00:00,last_message,0.7054,Y
FLW_b4adda,2026-07-09T17:36:00.397093+00:00,last_message,1.9424,Y
FLW_873152,2026-07-07T23:13:53.870309+00:00,last_message,0.1724,Y
FLW_67938e,2026-07-07T20:46:37.879812+00:00,last_message,0.0661,Y
FLW_290fbc,2026-07-07T20:59:11.256103+00:00,last_message,0.0371,Y
FLW_e27183,2026-07-08T00:19:07.977489+00:00,last_message,0.171,Y
FLW_cd1a3d,2026-07-07T21:53:20.290823+00:00,last_message,0.0681,Y
