# lag_days = last message in the session minus trigger_received_on (when offered).
# session_id is omitted: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_source,lag_days,within_2d
FLW_3d52e0,last_message,0.064,Y
FLW_f46048,last_message,0.103,Y
FLW_c276c9,last_message,1.1115,Y
FLW_aa0af8,last_message,0.289,Y
FLW_3c5754,last_message,0.0989,Y
FLW_a639cc,last_message,0.1749,Y
FLW_20678b,last_message,0.3551,Y
FLW_f40a39,last_message,0.1165,Y
FLW_970f78,last_message,0.8579,Y
FLW_7d7e1d,last_message,0.0504,Y
FLW_2fead8,last_message,0.1278,Y
FLW_548a48,last_message,0.6725,Y
FLW_6c0d2d,last_message,0.2178,Y
FLW_ccec8a,last_message,0.0913,Y
FLW_a21b80,last_message,0.3207,Y
FLW_c77301,last_message,14.0911,N
FLW_0304d2,last_message,0.0892,Y
FLW_14cb21,last_message,0.1604,Y
FLW_455b19,last_message,1.1281,Y
FLW_c6123f,last_message,0.3972,Y
FLW_f4b5e0,last_message,0.0889,Y
FLW_fa7993,last_message,0.0887,Y
FLW_4a2aea,last_message,1.9991,Y
FLW_4908a0,last_message,0.1418,Y
FLW_3e2375,last_message,0.0732,Y
FLW_b3f224,last_message,0.2789,Y
FLW_1a0b2a,last_message,0.0606,Y
FLW_6b1cc8,last_message,0.5821,Y
FLW_e4bb3c,last_message,0.6422,Y
FLW_74df4c,last_message,0.0488,Y
FLW_608b35,last_message,0.0305,Y
FLW_6c486d,last_message,0.5281,Y
FLW_86ae5b,last_message,0.7034,Y
FLW_e2bad3,last_message,1.0296,Y
FLW_611ae8,last_message,0.9064,Y
FLW_1f4a0a,last_message,0.4716,Y
FLW_a5149d,last_message,0.8007,Y
FLW_56b288,last_message,1.7443,Y
FLW_09b300,last_message,0.0573,Y
FLW_f1606d,last_message,0.9471,Y
FLW_b6570e,last_message,0.1204,Y
FLW_2b9003,last_message,0.0418,Y
FLW_54b683,last_message,0.322,Y
FLW_0cfb94,last_message,0.4272,Y
FLW_18a574,last_message,1.3477,Y
FLW_652cba,last_message,0.7711,Y
FLW_cce1b2,last_message,1.7902,Y
FLW_c52585,last_message,0.8825,Y
FLW_0e087a,last_message,0.0725,Y
FLW_f1ba44,last_message,0.0566,Y
FLW_988e1e,last_message,0.2797,Y
FLW_c45eee,last_message,0.171,Y
FLW_b2f267,last_message,1.4985,Y
FLW_21a4ce,last_message,0.1098,Y
FLW_21b3ab,last_message,1.9604,Y
FLW_af4427,last_message,0.144,Y
FLW_62c0b1,last_message,0.0508,Y
FLW_c903a8,last_message,3.0189,N
FLW_ba55fd,last_message,0.9776,Y
FLW_85370b,last_message,0.0971,Y
FLW_4a0c01,last_message,0.0429,Y
FLW_b9ce28,last_message,0.244,Y
FLW_5b17e1,last_message,0.1357,Y
FLW_23e3fd,last_message,0.9035,Y
FLW_87c850,last_message,1.7377,Y
FLW_5c3a45,last_message,0.8313,Y
FLW_eb0822,last_message,1.1,Y
FLW_772e72,last_message,0.7865,Y
FLW_3c2886,last_message,0.3327,Y
FLW_1331d1,last_message,0.1449,Y
FLW_81bd27,last_message,0.1146,Y
FLW_d1cc70,last_message,0.1002,Y
FLW_32dde9,last_message,0.7184,Y
FLW_638037,last_message,0.0496,Y
FLW_2cde02,last_message,2.1278,N
FLW_862c73,last_message,0.3738,Y
FLW_18c050,last_message,1.0219,Y
FLW_f7d557,last_message,0.2057,Y
FLW_0aa300,last_message,0.3317,Y
FLW_4eccc9,last_message,0.1927,Y
FLW_f75a8c,last_message,0.0569,Y
FLW_66b518,last_message,1.3266,Y
FLW_67e5b1,last_message,0.3931,Y
FLW_a7062d,last_message,0.262,Y
FLW_37e07c,last_message,0.0571,Y
FLW_676d7d,last_message,0.0413,Y
FLW_d9f79b,last_message,0.15,Y
FLW_0f7bd0,last_message,0.1693,Y
FLW_674327,last_message,0.1898,Y
FLW_d2c21a,last_message,0.0923,Y
FLW_7306be,last_message,0.2115,Y
FLW_c728f7,last_message,0.4425,Y
FLW_305618,last_message,0.0432,Y
FLW_0ad510,last_message,0.0525,Y
FLW_af4416,last_message,0.7054,Y
FLW_b4adda,last_message,1.9424,Y
FLW_873152,last_message,0.1724,Y
FLW_67938e,last_message,0.0661,Y
FLW_290fbc,last_message,0.0371,Y
FLW_e27183,last_message,0.171,Y
FLW_cd1a3d,last_message,0.0681,Y
FLW_70c8b0,last_message,0.0527,Y
FLW_73194b,last_message,0.05,Y
FLW_dffaa9,last_message,1.1426,Y
FLW_1bde8b,last_message,0.0458,Y
FLW_a4b884,last_message,0.3371,Y
FLW_1da296,last_message,0.0316,Y
FLW_0ba222,last_message,0.0434,Y
FLW_6c7fd4,last_message,0.5276,Y
FLW_48ae1d,last_message,1.2133,Y
FLW_6eca3d,last_message,0.4868,Y
FLW_72ba96,last_message,0.2633,Y
FLW_8f2b52,last_message,0.1351,Y
FLW_ab1b5a,last_message,0.7692,Y
FLW_dc78de,last_message,0.1007,Y
FLW_ca1e29,last_message,0.041,Y
FLW_8c2ec5,last_message,0.0548,Y
FLW_94c67e,last_message,0.0798,Y
FLW_09e269,last_message,0.1164,Y
FLW_013fc6,last_message,0.2496,Y
FLW_56c294,last_message,0.0646,Y
FLW_5c641b,last_message,0.0382,Y
FLW_be41f1,last_message,0.0322,Y
FLW_d65097,last_message,0.954,Y
FLW_10f42c,last_message,0.0545,Y
FLW_754229,last_message,0.8056,Y
FLW_ec17a0,last_message,0.0674,Y
FLW_c744b1,last_message,0.1535,Y
FLW_af56be,last_message,0.8494,Y
FLW_73b379,last_message,0.0507,Y
FLW_5a6b45,last_message,0.0665,Y
FLW_fa24ca,last_message,0.0549,Y
FLW_dd7b2c,last_message,0.0358,Y
FLW_2e2fe9,last_message,0.0479,Y
FLW_d675b2,last_message,0.6404,Y
FLW_9809b4,last_message,0.2687,Y
FLW_0e9942,last_message,0.1018,Y
FLW_9f1ddd,last_message,0.041,Y
FLW_9c2b73,last_message,0.1527,Y
FLW_79ea03,last_message,0.2571,Y
FLW_d67daf,last_message,0.1111,Y
FLW_40372c,last_message,0.0898,Y
FLW_c087a3,last_message,0.091,Y
FLW_a7f4c2,last_message,0.218,Y
FLW_2c90c9,last_message,0.1769,Y
FLW_c86561,last_message,0.1508,Y
FLW_a8f2ca,last_message,0.0604,Y
FLW_2cf33c,last_message,0.9882,Y
FLW_2c416d,last_message,0.0662,Y
FLW_f48e67,last_message,0.1021,Y
FLW_008859,last_message,0.2592,Y
FLW_ad6adb,last_message,0.1104,Y
FLW_2df30f,last_message,1.547,Y
FLW_4277b4,last_message,1.0677,Y
FLW_f8bd4d,last_message,1.5165,Y
FLW_419281,last_message,0.0505,Y
FLW_4e002b,last_message,0.0423,Y
FLW_062394,last_message,0.1008,Y
FLW_9d4fe2,last_message,0.1436,Y
FLW_139777,last_message,0.1187,Y
FLW_6f8a52,last_message,0.3035,Y
FLW_f37520,last_message,0.1458,Y
FLW_eca94e,last_message,0.1715,Y
FLW_63705f,last_message,0.167,Y
FLW_4c3b4f,last_message,0.6168,Y
FLW_93fa61,last_message,0.0788,Y
FLW_fc1633,last_message,0.8575,Y
FLW_b08440,last_message,0.095,Y
FLW_058eb7,last_message,0.4027,Y
FLW_9cd5cb,last_message,0.3186,Y
FLW_939f09,last_message,0.0584,Y
FLW_3470be,last_message,0.6941,Y
FLW_5e0576,last_message,0.3193,Y
FLW_43ebf2,last_message,0.9729,Y
FLW_ec3845,last_message,1.7059,Y
FLW_5d5df6,last_message,0.053,Y
FLW_fca828,last_message,0.0569,Y
FLW_be8d74,last_message,0.5559,Y
FLW_bb892e,last_message,0.4294,Y
FLW_8297ec,last_message,1.3694,Y
FLW_5ffbb0,last_message,0.1184,Y
FLW_dde445,last_message,1.2608,Y
FLW_f6e879,last_message,0.0746,Y
FLW_178faa,last_message,0.0524,Y
FLW_d1f8e5,last_message,0.19,Y
FLW_51aac5,last_message,0.0656,Y
FLW_7f9148,last_message,0.0742,Y
FLW_80cddf,last_message,0.0631,Y
FLW_b263e2,last_message,1.9721,Y
FLW_95bf58,last_message,0.1038,Y
FLW_1d3755,last_message,1.3222,Y
FLW_3828ed,last_message,0.1852,Y
FLW_3ef36e,last_message,0.0419,Y
FLW_2adc93,last_message,0.9999,Y
FLW_8f7c7c,last_message,0.0759,Y
FLW_234824,last_message,0.073,Y
FLW_dd7095,last_message,0.2781,Y
FLW_75f038,last_message,3.2067,N
FLW_612178,last_message,0.8414,Y
FLW_1992b0,last_message,0.0986,Y
FLW_d2f962,last_message,0.6584,Y
FLW_3d8cb0,last_message,0.0984,Y
FLW_ec19b8,last_message,0.6421,Y
FLW_00ec5a,last_message,0.0288,Y
FLW_1bff41,last_message,4.4746,N
FLW_a726cb,last_message,0.0675,Y
FLW_605377,last_message,1.2715,Y
FLW_d31fdc,last_message,0.2726,Y
FLW_7f7a21,last_message,0.0828,Y
FLW_89a64e,last_message,0.5743,Y
FLW_068d52,last_message,0.0698,Y
FLW_173cf6,last_message,0.0885,Y
FLW_988405,last_message,0.1604,Y
FLW_489a64,last_message,0.673,Y
FLW_d39fb4,last_message,0.0872,Y
FLW_06eca7,last_message,0.1345,Y
FLW_e631c6,last_message,0.0597,Y
FLW_e5e2d7,last_message,0.063,Y
FLW_1e3c36,last_message,0.0991,Y
FLW_7a91b2,last_message,0.321,Y
FLW_4ee273,last_message,0.0339,Y
FLW_dc5021,last_message,1.8606,Y
FLW_8c9b4c,last_message,0.1629,Y
FLW_f72202,last_message,0.3526,Y
FLW_84c22f,last_message,0.104,Y
FLW_54b9f7,last_message,0.0574,Y
FLW_a10163,last_message,0.0686,Y
FLW_004310,last_message,0.1105,Y
FLW_1fbf05,last_message,1.0758,Y
FLW_4665f1,last_message,0.0517,Y
FLW_6e292c,last_message,15.9873,N
FLW_b24762,last_message,0.121,Y
FLW_a42d1e,last_message,0.6116,Y
FLW_94c2a4,last_message,2.8214,N
FLW_f0efeb,last_message,0.0409,Y
FLW_843132,last_message,0.7241,Y
FLW_3e6362,last_message,0.367,Y
FLW_b2f21f,last_message,0.041,Y
FLW_23bbb3,last_message,0.0497,Y
FLW_5fe7af,last_message,0.3134,Y
FLW_1d2d91,last_message,0.1536,Y
FLW_a60326,last_message,0.065,Y
FLW_afbfed,last_message,0.2452,Y
FLW_66f6dc,last_message,0.9646,Y
FLW_91e6ac,last_message,2.4762,N
FLW_45cad8,last_message,0.0443,Y
FLW_cc56a6,last_message,0.4151,Y
FLW_4122b1,last_message,0.083,Y
FLW_18119d,last_message,0.4701,Y
FLW_afdfc8,last_message,0.9283,Y
FLW_1e9c0f,last_message,0.3978,Y
FLW_c3a092,last_message,0.7385,Y
FLW_fa48c0,last_message,0.7203,Y
FLW_639cb5,last_message,0.9458,Y
FLW_e820f6,last_message,0.0983,Y
FLW_d6f644,last_message,0.7711,Y
FLW_944a43,last_message,2.0241,N
FLW_d71f45,last_message,0.8114,Y
FLW_59216d,last_message,0.0711,Y
FLW_2d0de6,last_message,0.297,Y
FLW_c49322,last_message,1.9006,Y
FLW_0b4057,last_message,0.0961,Y
FLW_74f7d2,last_message,0.1474,Y
FLW_676633,last_message,0.053,Y
FLW_e8f3b8,last_message,0.2964,Y
FLW_12ac24,last_message,0.1365,Y
FLW_ea230f,last_message,0.59,Y
