# The CommCare interview_schedule lookup: the bot's runtime truth for what
# each cohort offers and when. offset_days is from the cohort's own start.
cohort_id,interview_n,topic_code,offset_days
01TRS,1,A,0
01TRS,2,B,7
02TRS,1,A,0
02TRS,2,B,7
03TRS,1,A,0
03TRS,2,B,7
04TRS,1,A,0
04TRS,2,B,7
05TRS,1,A,0
05TRS,2,B,7
06TRS,1,A,0
06TRS,2,B,7
07TRS,1,A,0
07TRS,2,B,7
08TRS,1,A,0
08TRS,2,B,7
09TRE,1,A,0
09TRE,2,B,3
09TRE,3,C,6
09TRE,4,D,9
09TRE,5,E,12
10TRE,1,A,0
10TRE,2,B,3
10TRE,3,C,6
10TRE,4,D,9
10TRE,5,E,12
11TRE,1,A,0
11TRE,2,B,3
11TRE,3,C,6
11TRE,4,D,9
11TRE,5,E,12
12TRE,1,A,0
12TRE,2,B,3
12TRE,3,C,6
12TRE,4,D,9
12TRE,5,E,12
13TRS,1,A,0
13TRS,2,B,7
14TRS,1,A,0
14TRS,2,B,7
15TRS,1,A,0
15TRS,2,B,7
16TRS,1,A,0
16TRS,2,B,7
17TRS,1,A,0
17TRS,2,B,7
18TRS,1,A,0
18TRS,2,B,7
19TRS,1,A,0
19TRS,2,B,7
1ABT1CA1,1,1,0
1ABT1CA1,2,2,7
1ABT1CA1,3,3,14
1ABT1CA1,4,4,21
1ABT1CA2,1,1,0
1ABT1CA2,2,2,7
1ABT1CA2,3,3,14
1ABT1CA2,4,4,21
1ABT1CB1,1,1,0
1ABT1CB1,2,2,7
1ABT1CB1,3,3,14
1ABT1CB1,4,4,21
1ABT1CB2,1,1,0
1ABT1CB2,2,2,7
1ABT1CB2,3,3,14
1ABT1CB2,4,4,21
1ABT1CB3,1,1,0
1ABT1CB3,2,2,7
1ABT1CB3,3,3,14
1ABT1CB3,4,4,21
1ABT1EA1,1,1,0
1ABT1EA1,2,2,7
1ABT1EA1,3,3,14
1ABT1EA1,4,4,21
1ABT1EA2,1,1,0
1ABT1EA2,2,2,7
1ABT1EA2,3,3,14
1ABT1EA2,4,4,21
1ABT1EB1,1,1,0
1ABT1EB1,2,2,7
1ABT1EB1,3,3,14
1ABT1EB1,4,4,21
1ECC1,1,11,0
1ECC1,2,C,3
1ECC1,3,99,6
1ECE1,1,11,0
1ECE1,2,C,3
1ECE1,3,99,6
1PC1,1,7,0
1PC1,2,1,4
1PC1,3,2,8
1PC1,4,12,12
1PC1,5,3,16
1PC1,6,4,20
1PC1,7,5,24
1PC1,8,6,28
1PC1,9,C,32
1PC1,10,10,36
1PC1,11,11,40
1PC1,12,8,44
1PC1,13,13,48
1PE1,1,7,0
1PE1,2,1,4
1PE1,3,2,8
1PE1,4,12,12
1PE1,5,3,16
1PE1,6,4,20
1PE1,7,5,24
1PE1,8,6,28
1PE1,9,C,32
1PE1,10,10,36
1PE1,11,11,40
1PE1,12,8,44
1PE1,13,13,48
20TRS,1,A,0
20TRS,2,B,7
21TRS,1,A,0
21TRS,2,B,7
22TRS,1,A,0
22TRS,2,B,7
23TRS,1,A,0
23TRS,2,B,7
24TRS,1,A,0
24TRS,2,B,7
25TRS,1,A,0
25TRS,2,B,7
26TRS,1,A,0
26TRS,2,B,7
27TRS,1,A,0
27TRS,2,B,7
28TRS,1,A,0
28TRS,2,B,7
29TRS,1,A,0
29TRS,2,B,7
2ABT2CB1,1,1,0
2ABT2CB1,2,2,3
2ABT2CB1,3,5,6
2ABT2CB1,4,6,9
2ABT2CB1,5,7,12
2ABT2CB1,6,8,15
2ABT2CB1,7,9,18
2ABT2CB1,8,3,21
2ABT2CB2,1,1,0
2ABT2CB2,2,2,3
2ABT2CB2,3,5,6
2ABT2CB2,4,6,9
2ABT2CB2,5,7,12
2ABT2CB2,6,8,15
2ABT2CB2,7,9,18
2ABT2CB2,8,3,21
2ABT2CB3,1,1,0
2ABT2CB3,2,2,3
2ABT2CB3,3,5,6
2ABT2CB3,4,6,9
2ABT2CB3,5,7,12
