connect_id,cohort_id,subgroup,cohort_type,interview_n,topic_code,topic_name,training_date,release_date,is_released,trigger_form_id,trigger_received_on,matched_session_id,review_status,review_ai,session_created_at,session_ended_at,session_end_source,session_status,session_human_words,session_human_msgs,is_triggered,is_started,is_completed,c_invited,c_accepted,c_learn_completed,c_claimed,is_initiated
FLW_f75a8ccc,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_5c472e9d,2026-04-01T14:33:39.766640+00:00,SESS_117f8b6b,acceptable,,2026-04-01T14:33:40.951645Z,2026-04-01T15:05:20.269991Z,last_message,interview_complete,77,21,Y,Y,Y,Y,Y,Y,Y,Y
FLW_6c7fd496,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_7d54ba8c,2026-04-01T14:34:22.579028+00:00,SESS_2209bfab,acceptable,,2026-04-01T14:34:23.707382Z,2026-04-01T15:33:27.679096Z,last_message,interview_complete,352,22,Y,Y,Y,Y,Y,Y,Y,Y
FLW_de11d5f8,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_39a63bd4,2026-04-01T14:35:33.601797+00:00,SESS_397349c6,acceptable,,2026-04-01T14:35:34.569925Z,2026-04-01T19:43:50.061652Z,last_message,interview_complete,103,20,Y,Y,Y,Y,Y,Y,Y,Y
FLW_c903a884,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_1f34ae99,2026-04-01T14:40:04.202559+00:00,SESS_0ef9a6e4,acceptable,,2026-04-01T14:40:05.409036Z,2026-04-01T14:56:10.963045Z,last_message,interview_complete,72,17,Y,Y,Y,Y,Y,Y,Y,Y
FLW_f885c2da,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_7c697657,2026-04-01T14:41:54.076707+00:00,SESS_c2f61a32,acceptable,,2026-04-01T14:41:54.961084Z,2026-04-01T20:32:17.797881Z,last_message,interview_complete,187,20,Y,Y,Y,Y,Y,Y,Y,Y
FLW_e4bb3cf3,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_87d5e82f,2026-04-01T14:43:01.458908+00:00,SESS_e0010ce6,acceptable,,2026-04-01T14:43:02.515480Z,2026-04-02T09:03:40.725601Z,last_message,interview_complete,107,20,Y,Y,Y,Y,Y,Y,Y,Y
FLW_b244c86d,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_9f491f0a,2026-04-01T14:43:24.218578+00:00,SESS_7ea4d9b1,acceptable,,2026-04-01T14:43:25.155285Z,2026-04-01T22:08:13.064148Z,last_message,interview_complete,272,20,Y,Y,Y,Y,Y,Y,Y,Y
FLW_d094d37c,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_80b24a0f,2026-04-01T14:43:57.302138+00:00,SESS_f7a3b452,acceptable,,2026-04-01T14:43:58.315145Z,2026-04-01T18:33:41.039876Z,last_message,interview_complete,324,15,Y,Y,Y,Y,Y,Y,Y,Y
FLW_3f346f5f,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_eee5129b,2026-04-01T14:44:03.369593+00:00,SESS_492fce81,unacceptable,Y,2026-04-01T14:44:04.417443Z,2026-04-01T19:18:58.353219Z,last_message,interview_complete,788,16,Y,Y,Y,Y,Y,Y,Y,Y
FLW_b4adda96,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_4d160f68,2026-04-01T14:44:38.781395+00:00,SESS_f1ad1bfd,acceptable,,2026-04-01T14:44:39.688015Z,2026-04-01T23:28:08.185464Z,last_message,interview_complete,244,26,Y,Y,Y,Y,Y,Y,Y,Y
FLW_c673c8a1,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_50d0e767,2026-04-01T14:45:30.984985+00:00,SESS_432d65bc,acceptable,,2026-04-01T14:45:32.148498Z,2026-04-01T21:31:09.962021Z,last_message,interview_complete,119,23,Y,Y,Y,Y,Y,Y,Y,Y
FLW_6de54ed5,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_b69926ed,2026-04-01T14:45:42.686149+00:00,SESS_d1de31f5,acceptable,,2026-04-01T14:45:43.531828Z,2026-04-02T01:02:20.743863Z,last_message,interview_complete,425,24,Y,Y,Y,Y,Y,Y,Y,Y
FLW_9b9525fe,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_7278b520,2026-04-01T14:46:02.930318+00:00,SESS_1a6743e0,acceptable,,2026-04-01T14:46:04.031379Z,2026-04-01T23:18:01.238149Z,last_message,interview_complete,404,22,Y,Y,Y,Y,Y,Y,Y,Y
FLW_4a2aea26,01TRS,TRS,Standard,1,A,Community Demographics,2026-04-01,2026-04-01,Y,TRIG_e31e1487,2026-04-01T14:46:06.847708+00:00,SESS_2a693433,acceptable,,2026-04-01T14:46:07.724698Z,2026-04-01T20:49:49.632581Z,last_message,interview_complete,74,15,Y,Y,Y,Y,Y,Y,Y,Y
